title,singer,music_director,actor,genre,language,movie_name,album,year,duration_seconds,audio_file_path,moods
"Ravi Teja, Trisha",Krishna Telugu Full Movie Part 2/2,,,Telugu,Telugu,,,,,songs/krishna_telugu_full_movie_part_22_ravi_teja_trisha.mp3,feel good
"Panchathantram Title Song (From ""Panchathantram"")",Kala Bhairava,,,Telugu,Telugu,,,,,songs/kala_bhairava_panchathantram_title_song_from_panchathantram.mp3,feel good
Ringa Ringa,Priya Hemesh,,,Telugu,Telugu,,,,,songs/priya_hemesh_ringa_ringa.mp3,feel good
udayinchina suryudini,Devi Sri Prasad,,,Telugu,Telugu,,,,,songs/devi_sri_prasad_udayinchina_suryudini.mp3,feel good
"Ee Vela (From ""Raa Raa Penimiti"")",Ramya Behra,,,Telugu,Telugu,,,,,songs/ramya_behra_ee_vela_from_raa_raa_penimiti.mp3,feel good
Unnapaatuga (From “14 Days Love”),Kiran Venna,,,Telugu,Telugu,,,,,songs/kiran_venna_unnapaatuga_from_14_days_love.mp3,romantic
"Hey (Language: Telugu; Film: Relax; Film Artists: Rohan, Anjai)",Ramana Gogula,,,Telugu,Telugu,,,,,songs/ramana_gogula_hey_language_telugu_film_relax_film_artists_rohan_anjai.mp3,chill
Surya,7th Sense Telugu Full Movie,,,Telugu,Telugu,,,,,songs/7th_sense_telugu_full_movie_surya.mp3,feel good
"Avunanavaa (From ""Ori Devuda"")",Sid Sriram,,,Telugu,Telugu,,,,,songs/sid_sriram_avunanavaa_from_ori_devuda.mp3,feel good
Nay Geesina Gaganam,Prithvi Chandrasekhar,,,Telugu,Telugu,,,,,songs/prithvi_chandrasekhar_nay_geesina_gaganam.mp3,feel good
Rasi Petti,Sid Sriram,,,Telugu,Telugu,,,,,songs/sid_sriram_rasi_petti.mp3,feel good
Priyathama Priyathama,Yasaswi Kondepudi,,,Telugu,Telugu,,Right,,287,songs/yasaswi_kondepudi_priyathama_priyathama.mp3,feel good
Pattana O Pattu,Sri Krishna/ Malavika/ Bharadwaj Gali,,,Telugu,Telugu,,,,,songs/sri_krishna_malavika_bharadwaj_gali_pattana_o_pattu.mp3,feel good
"Maate Vinadhuga - From ""Taxiwaala""",Sid Sriram,,,Telugu,Telugu,,,,,songs/sid_sriram_maate_vinadhuga_from_taxiwaala.mp3,feel good
Pandaga Chesko,K. K,,,Telugu,Telugu,,,,,songs/k_k_pandaga_chesko.mp3,feel good
Yemayyindo Mansukhi Teninnu Manchhiti,Rashid Ali,,,Telugu,Telugu,,,,326,songs/rashid_ali_yemayyindo_mansukhi_teninnu_manchhiti.mp3,feel good
Nadumu (Language: Telugu; Film: Adirandayya Chandram),S.P. Balu,,,Telugu,Telugu,,,,,songs/sp_balu_nadumu_language_telugu_film_adirandayya_chandram.mp3,feel good
O Lailaa,"Rahul, Chorus",,,Telugu,Telugu,,,,,songs/rahul_chorus_o_lailaa.mp3,feel good
Neeli Meghamulalo,"Vivek Sagar, Prithvi Harish, Bharadwaj Gali",,,Telugu,Telugu,,,,,songs/vivek_sagar_prithvi_harish_bharadwaj_gali_neeli_meghamulalo.mp3,romantic
Ninu Choostunte,"Siddharth, Sumangaly",,,Telugu,Telugu,,,,,songs/siddharth_sumangaly_ninu_choostunte.mp3,romantic
Niluvaddamu,"Karthik, Sumangali",,,Telugu,Telugu,,,,,songs/karthik_sumangali_niluvaddamu.mp3,feel good
nee sneham,Manasantanuve,,,Telugu,Telugu,,,,,songs/manasantanuve_nee_sneham.mp3,romantic
"Oopiraagi Poyela (From ""Mr. Kalyan"")",Sweekar Agasthi,,,Telugu,Telugu,,"Oopiraagi Poyela (From ""Mr. Kalyan"") [Original Motion Picture Soundtrack] - Single",,203,songs/sweekar_agasthi_oopiraagi_poyela_from_mr_kalyan.mp3,feel good
Ayudha Pooja [TELUGU],Kala Bhairava,,,Telugu,Telugu,,,,,songs/kala_bhairava_ayudha_pooja_telugu.mp3,feel good
Inthalo Ennenni Vinthalo Male,Naresh Iyer,,,Telugu,Telugu,,,,,songs/naresh_iyer_inthalo_ennenni_vinthalo_male.mp3,feel good
Hoyna,Devi Sri Prasad,,,Telugu,Telugu,,Aata,,306,songs/devi_sri_prasad_hoyna.mp3,feel good
Maargazhi Poovea,Shobha Shanker,,,Telugu,Telugu,,May Madham (Original Motion Picture Soundtrack),,379,songs/shobha_shanker_maargazhi_poovea.mp3,feel good
Happy Days Rock,Naresh Iyer,,,Telugu,Telugu,,Happy Days (Original Motion Picture Soundtrack),,230,songs/naresh_iyer_happy_days_rock.mp3,happy
Innum Konjam Naeram,A.R. Rahman,,,Telugu,Telugu,,,,313,songs/ar_rahman_innum_konjam_naeram.mp3,feel good
Dum,Sandeep Chowta,,,Telugu,Telugu,,Mallika I Hate You,,295,songs/sandeep_chowta_dum.mp3,feel good
every body,Chukkallo Chandrudu,,,Telugu,Telugu,,,,,songs/chukkallo_chandrudu_every_body.mp3,feel good
jeeva,Jeva,,,Telugu,Telugu,,,,,songs/jeva_jeeva.mp3,feel good
